"","ID","EARNINGS","S","EXP","BYEAR","AGE","AGEMBTH","HHINC97","POVRAT97","PRMONM","PRMONF","ASVABAR","ASVABWK","ASVABPC","ASVABMK","ASVABNO","ASVABCS","ASVABC","ASVABC4","VERBAL","ASVABMV","HEIGHT","WEIGHT04","WEIGHT11","SF","SM","SFR","SMR","SIBLINGS","JOBS","HOURS","TENURE","CATSE","COLLBARG","SEX","ETHNICITY","EDUCATION","MARITALSTAT","FAITH","METSTAT97","AREA97","CENREG97","HOUSE97","MATSTYLE","PATSTYLE","CATEMP","METSTAT11","CENREG11","AREA11"
"825",6375,15,18,3.442308,1983,28,25,NA,NA,10,10,1.745177,0.1340869,1.839829,0.8426999,1.939373,1.903751,1.501059,1.275902,1.052252,90076,66,130,135,13,13,13,13,2,12,30,0.3076923,"No","No","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","Not in MSA","Urban","West","Biological mother and father","Permissive","Permissive","Private sector","Not in MSA","South","Urban"
"1912",2107,13.95,16,6.692307,1982,29,17,15100,119,15,NA,0.3819107,-0.3178675,0.5714149,0.6051898,1.189207,-0.6790101,0.2791134,0.3465428,0.134819,61498,61,140,198,12,13,NA,13,2,9,60,5.307693,"No","No","Female","Black","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Urban","North east","Biological mother only","Authoritative",NA,"Non-profit","MSA, central city","West","Urban"
"95",1797,18.23,16,4.826923,1983,28,32,NA,NA,14,11,0.7350091,-0.4464419,-0.4676966,0.1122694,-0.7566134,-0.0314982,0.1523027,-0.0193383,-0.4878812,44904,76,185,220,14,14,14,14,2,2,40,5.173077,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Protestant","MSA, not central city","Rural","North central","Biological mother and father","Permissive","Authoritative","Private sector","MSA, not central city","North central","Rural"
"1421",5151,13.46,17,2.692308,1984,27,25,NA,NA,14,13,-0.5270514,-0.8256118,-1.320389,-0.31524,0.2188478,-0.2736783,-0.8797883,-0.8368453,-1.144805,21243,65,140,160,14,12,14,12,1,4,40,2.038461,"No","Yes","Female","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Missing value","Not in MSA","Urban","North central","Biological mother and father","Authoritative","Authoritative","Missing value","MSA, central city","North central","Urban"
"1938",1858,86.54,18,5.480769,1981,30,28,162500,649,NA,NA,1.719892,2.231918,1.024913,1.966812,0.2223314,1.352138,1.83969,1.942387,1.736401,98740,66,125,145,20,20,20,20,2,3,60,5.192307,"No","No","Female","Non-black, non-hispanic","Professional degree","Cohabiting","Protestant","MSA, not central city","Urban","North central","Biological mother and father",NA,NA,"Private sector","MSA, central city","North east","Urban"
"1716",2732,28.85,17,2.865385,1983,28,28,67820,412,12,10,0.5336149,0.3993089,0.6832862,0.343378,-0.11629,-0.6193352,0.5902962,0.5477244,0.5769311,70407,70,180,200,14,14,14,14,1,3,50,3.596154,"No","No","Male","Non-black, non-hispanic","Bachelor's degree","Married, spouse present","Catholic","MSA, not central city","Rural","North central","Biological mother and father","Authoritative","Authoritative","Private sector","MSA, not central city","North central","Urban"
"956",3939,12.74,20,1.692308,1982,29,25,NA,NA,10,NA,0.7378137,1.739026,1.334288,0.9518527,0.3559948,1.232551,1.249539,1.3322,1.638536,93719,67,175,162,16,16,NA,16,0,16,40,0.3269231,"No","No","Female","Non-black, non-hispanic","Master's degree","Cohabiting","Protestant","MSA, central city","Urban","South","Biological mother only","Permissive",NA,"Government","MSA, not central city","West","Urban"
"315",2894,33.65,20,1.865385,1980,31,32,44000,268,NA,NA,1.136197,1.191551,1.580122,1.469756,0.8228325,-0.5172274,1.385593,1.504197,1.477677,93976,63,110,121,20,16,NA,16,2,4,20,1.634615,"No","Yes","Female","Non-black, non-hispanic","Doctorate","Married, spouse present","None","MSA, not central city","Urban","North central","Biological mother only","Permissive",NA,"Government","MSA, central city","North east","Urban"
"1496",1123,20.09,17,2,1984,27,33,58500,368,11,11,0.5097556,0.6348166,0.4855974,-0.2495118,-0.6262341,-0.5598047,0.587576,0.3857219,0.5970991,70116,62,120,125,13,12,13,12,1,5,32,1.865385,"No","Yes","Female","Non-black, non-hispanic","Bachelor's degree","Cohabiting","Catholic","MSA, not central city","Urban","North east","Biological mother and father","Authoritarian","Permissive","Private sector","MSA, central city","North east","Urban"
"867",4966,14.67,12,8.25,1984,27,32,46750,294,12,NA,-0.3533623,-0.1312538,0.2420562,0.080189,0.1392196,0.1723423,-0.1641961,-0.0460652,0.0586963,33532,64,130,144,9,12,9,12,2,6,40,1.653846,"No","Yes","Female","Non-black, non-hispanic","High school diploma","Other single","Catholic","Not in MSA","Rural","North east","Biological mother and father","Permissive",NA,"Government","MSA, not central city","North east","Urban"
